name,artist,id,danceability,instrumentalness,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Safe And Sound,Capital Cities,6Z8R6UsFuGXGtiIxiD8ISb,0.655,0.00374,0.819,-4.852,0.0316,0.000176,117.956,0.104,0.766
Here Comes The Sun - Remastered 2009,The Beatles,6dGnYIeXmHdcikdzNNDMm2,0.557,0.00248,0.54,-10.484,0.0347,0.0339,129.171,0.179,0.394
Hey Jude - Remastered 2015,The Beatles,0aym2LBJBk9DAYuHHutrIl,0.386,1.38e-05,0.607,-7.7,0.0261,0.0112,147.207,0.088,0.532
Come Together - Remastered 2009,The Beatles,2EqlS6tkEnglzr7tkKAAYD,0.533,0.248,0.376,-11.913,0.0393,0.0302,165.007,0.0926,0.187
Let It Be - Remastered 2009,The Beatles,7iN1s7xHE4ifF5povM6A48,0.443,0.0,0.403,-8.339,0.0322,0.631,143.462,0.111,0.41
I Want You (She's So Heavy) - Remastered 2009,The Beatles,3Z25k4ZF6QENy2d9YatsM5,0.37,0.205,0.515,-9.487,0.0321,0.0233,115.732,0.0966,0.42
Kangaroo Court,Capital Cities,1leXuBiWQMgbvOIIedqbLB,0.76,0.000679,0.579,-5.079,0.0388,0.00715,99.979,0.0304,0.975
Love Away,Capital Cities,6T5ACM2wNQ0w1OptHMpsCD,0.742,0.000344,0.689,-5.889,0.0495,0.308,90.973,0.389,0.73
Monster,Imagine Dragons,15U1oYrykViB8l4xywoy2Y,0.482,0.000281,0.775,-5.386,0.0841,0.182,179.976,0.109,0.419
Radioactive,Imagine Dragons,4G8gkOterJn0Ywt6uhqbhp,0.448,0.000108,0.784,-3.686,0.0627,0.106,136.245,0.668,0.236
Friction,Imagine Dragons,2iIb73Qn02LsZwpW8RJUxh,0.671,0.0259,0.537,-8.745,0.0358,0.0508,104.007,0.19,0.273
I Bet My Life,Imagine Dragons,15DrrIod12Tc2IoMaHiwlQ,0.553,0.000648,0.657,-8.219,0.0405,0.335,107.889,0.228,0.555
Demons,Imagine Dragons,3LlAyCYU26dvFZBDUIMb7a,0.505,0.00025,0.71,-3.015,0.0321,0.19,89.938,0.329,0.428
On Top Of The World,Imagine Dragons,6Qj1WXW41Mn3Fh9V2sHphM,0.635,4.53e-06,0.926,-5.589,0.151,0.0893,100.048,0.0928,0.761
Hummingbird Heartbeat,Katy Perry,089keBWJUOsI9wUeVr1uIr,0.596,0.0,0.896,-2.946,0.0945,0.00241,121.957,0.0913,0.62
Hot N Cold,Katy Perry,1y4eb6hmAvsqlDOl3fx9kk,0.706,0.0,0.841,-3.956,0.0418,7.95e-05,132.032,0.0688,0.861
Unconditionally,Katy Perry,4fwbGKNExPtPHbor1TBSY4,0.397,0.0,0.725,-4.862,0.043,0.00266,128.861,0.208,0.358
International Smile,Katy Perry,5OzIe9IL95B23n4rN59JZ3,0.514,0.0,0.817,-4.269,0.0482,0.0278,129.98,0.137,0.548
